coorx coory
69.6795 17.6382
64.0845 10.2819
57.265 4.69457
49.5552 2.94136
42.5247 5.19037
36.9424 10.5078
32.6082 18.0844
30.1607 26.1288
29.4703 34.739
29.3313 43.1865
29.6939 50.9483
30.638 58.975
31.9155 66.9146
33.7127 74.1275
36.5557 81.1194
40.1973 87.4197
45.4272 92.2006
51.2792 93.985
57.0999 91.7947
60.5704 86.2817
62.3711 43.9135
62.4946 35.303
61.808 26.4707
59.4372 18.7035
55.0367 12.4994
48.4082 9.30703
41.6866 11.2223
37.0988 17.5854
34.4703 24.7504
33.5329 32.4987
33.162 40.4082
33.6206 48.0933
34.1399 55.6508
36.0485 62.868
39.6612 70.0175
65.0613 46.7544
61.7652 52.189
60.1785 58.7291
62.152 63.9342
61.5298 69.2917
57.2845 68.2875
54.468 62.4226
48.7517 60.2319
45.3188 57.276
43.4899 52.6278
43.9492 47.6479
47.052 44.0225
51.2845 41.4384
55.8089 39.6619
60.5492 38.5239
36.1132 46.7695
37.9239 38.6966
41.0409 31.0017
44.8307 23.7684
49.5343 16.8441
